Recipe_Name                                                                                       ,calories      ,cuisine_type        ,meal_type                 ,diet_labels                        ,ingredient_1_name                    ,ingredient_1_quantity ,ingredient_1_unit ,ingredient_2_name        ,ingredient_2_quantity ,ingredient_2_unit ,ingredient_3_name             ,ingredient_3_quantity ,ingredient_3_unit ,ingredient_4_name                      ,ingredient_4_quantity ,ingredient_4_unit ,ingredient_5_name           ,ingredient_5_quantity ,ingredient_5_unit ,ingredient_6_name          ,ingredient_6_quantity ,ingredient_6_unit ,ingredient_7_name                ,ingredient_7_quantity ,ingredient_7_unit ,ingredient_8_name                 ,ingredient_8_quantity ,ingredient_8_unit ,ingredient_9_name                          ,ingredient_9_quantity ,ingredient_9_unit ,ingredient_10_name                         ,ingredient_10_quantity ,ingredient_10_unit ,ingredient_11_name         ,ingredient_11_quantity ,ingredient_11_unit ,ingredient_12_name     ,ingredient_12_quantity ,ingredient_12_unit ,ingredient_13_name   ,ingredient_13_quantity ,ingredient_13_unit ,ingredient_14_name    ,ingredient_14_quantity ,ingredient_14_unit ,ingredient_15_name    ,ingredient_15_quantity ,ingredient_15_unit ,ENERC_KCAL ,FAT     ,FASAT  ,FATRN ,FAMS   ,FAPU   ,CHOCDF  ,FIBTG  ,SUGAR  ,PROCNT  ,CHOLE   ,NA       ,CA       ,MG      ,K        ,FE     ,ZN     ,P        ,VITA_RAE ,VITC    ,VITD   ,TOCPHA ,VITK1    ,WATER
Eggs Florentine                                                                                   , 1306.301583  ,italian             ,breakfast                 ,Low-Carb                           ,butter                               ,        100           ,gram              ,egg yolks                ,          2           ,<unit>            ,water                         ,          0.5         ,tablespoon        ,lemon juice                            ,          0.5         ,tablespoon        ,Salt                        ,          0           ,                  ,white pepper               ,          0           ,                  ,english muffins                  ,          2           ,<unit>            ,spinach                           ,          2           ,handful           ,eggs                                       ,          4           ,<unit>            ,                                           ,                       ,                   ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   653.151 , 53.453 ,29.394 ,0.033 ,16.583 , 4.192 , 26.988 , 2.668 , 1.415 , 18.419 ,572.86  , 501.23  , 180.98  , 34.588 , 264.058 , 3.565 , 2.085 , 296.861 , 538.236 ,  1.915 , 2.447 , 2.704 ,  11.855 ,113.427
Chocolate Peanut Butter Banana Smoothie Bowl - Vegan + Gluten-free recipes                        , 1065.613     ,american            ,breakfast                 ,"Balanced, High-Fiber, Low-Sodium" ,chocolate almond milk                ,          1           ,cup               ,Peanut Butter            ,          3           ,tablespoon        ,maple syrup                   ,          1           ,tablespoon        ,chia seeds                             ,          1           ,tablespoon        ,oats                        ,          0.5         ,cup               ,buckwheat groats           ,          0.25        ,cup               ,banana                           ,          1           ,<unit>            ,                                  ,                      ,                  ,                                           ,                      ,                  ,                                           ,                       ,                   ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   532.807 , 19.121 , 3.334 ,0.026 , 8.144 , 5.876 , 80.256 ,11.494 ,26.128 , 16.698 ,  0     ,  95.054 , 312.858 ,206.875 , 709.553 , 4.025 , 3.911 , 437.092 ,  78.308 , 10.409 , 1.2   , 5.644 ,   0.361 ,158.223
Bacon & Cheese Breakfast Bread Pudding                                                            , 6004.899083  ,british             ,breakfast                 ,Low-Carb                           ,sandwich bread                       ,         10           ,cup               ,unsalted butter          ,          4           ,tablespoon        ,salt                          ,          1           ,teaspoon          ,black pepper                           ,          0.75        ,teaspoon          ,eggs                        ,          8           ,<unit>            ,heavy cream                ,          1.333333333 ,cup               ,milk                             ,          1           ,cup               ,Cheddar cheese                    ,          2.5         ,cup               ,bacon                                      ,         12           ,slice             ,                                           ,                       ,                   ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   300.245 , 23.188 ,11.388 ,0.237 , 7.378 , 2.223 , 11.293 , 0.822 , 2.442 , 11.69  ,127.474 , 371.279 , 179.716 , 19.852 , 136.32  , 1.188 , 1.352 , 189.628 , 179.792 ,  0.135 , 0.981 , 0.661 ,   2.321 , 56.852
Mini Veggie Breakfast Pizzas                                                                      ,  587.3693125 ,italian             ,breakfast                 ,High-Fiber                         ,flatbread                            ,          1           ,bread             ,cream cheese             ,          3           ,tablespoon        ,grape tomatoes                ,          3           ,<unit>            ,mushrooms                              ,          4           ,<unit>            ,spinach                     ,          4           ,leaf              ,parmesan cheese            ,          2           ,tablespoon        ,egg                              ,          1           ,<unit>            ,chives                            ,          1           ,pinch             ,                                           ,                      ,                  ,                                           ,                       ,                   ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   587.369 , 31.471 ,13.786 ,0.525 ,11.732 , 2.894 , 51.555 , 7.542 ,14.585 , 28.737 ,216.535 , 942.164 , 393.752 ,112.76  ,1556.553 , 6.05  , 3.615 , 538.388 , 583.974 , 63.341 , 1.097 , 4.872 , 228.633 ,551.652
Paleo Sweet Potato Breakfast Hash                                                                 ,  881.1808125 ,american            ,"breakfast, lunch/dinner" ,Balanced                           ,Sweet Potatoes                       ,          3           ,<unit>            ,Olive Oil                ,          1           ,tablespoon        ,Garlic Powder                 ,          1           ,teaspoon          ,Onion Powder                           ,          1           ,teaspoon          ,Paprika                     ,          0.5         ,teaspoon          ,Salt                       ,          1           ,pinch             ,Pepper                           ,          1           ,pinch             ,Sausage                           ,          4           ,link              ,Red Onion                                  ,          0.25        ,cup               ,Cherry Tomatoes                            ,           0.5         ,cup                ,Sriracha                   ,           0.5         ,tablespoon         ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   220.295 ,  9.747 , 2.401 ,0.025 , 4.941 , 1.528 , 27.762 , 4.365 , 6.437 ,  6.31  , 17.5   , 338.848 ,  46.984 , 39.564 , 578.711 , 1.238 , 0.985 , 104.979 , 887.257 ,  8.161 , 0.35  , 1.264 ,   6.429 ,139.68
One Skillet Spicy Shakshuka with Feta                                                             ,  800.6082492 ,mediterranean       ,lunch/dinner              ,                                   ,eggs                                 ,          6           ,<unit>            ,tomato sauce             ,          1           ,can               ,cumin                         ,          1           ,teaspoon          ,red pepper flakes                      ,          0.25        ,teaspoon          ,garlic                      ,          5           ,clove             ,onion                      ,          1           ,<unit>            ,bell pepper                      ,          1           ,<unit>            ,parsley                           ,          1           ,tablespoon        ,salt                                       ,          0.25        ,teaspoon          ,black pepper                               ,           0.5         ,teaspoon           ,feta cheese                ,           1.600000024 ,ounce              ,parsley                ,           0           ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   133.435 ,  6.314 , 2.44  ,0.016 , 2.046 , 1.085 , 12.081 , 2.998 , 6.657 ,  8.836 ,166.688 , 778.67  ,  98.712 , 34.62  , 564.767 , 2.676 , 1.228 , 165.148 , 151.437 , 40.874 , 0.89  , 2.726 ,  53.129 ,198.646
Huevos Rancheros With Broiled Tomato Salsa Recipe                                                 , 1349.311487  ,mexican             ,lunch/dinner              ,"High-Fiber, Low-Carb"             ,plum tomatoes                        ,          1           ,pound             ,serrano chilies          ,          2           ,<unit>            ,vegetable oil                 ,          6           ,tablespoon        ,Kosher salt                            ,          0           ,                  ,black pepper                ,          0           ,                  ,white onion                ,          1           ,cup               ,garlic                           ,          2           ,teaspoon          ,cider vinegar                     ,          1.5         ,tablespoon        ,eggs                                       ,          4           ,<unit>            ,corn tortillas                             ,           3           ,<unit>             ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   674.656 , 53.152 , 6.148 ,0.36  ,34.242 , 9.839 , 34.732 , 6.881 ,10.02  , 17.882 ,372     ,1177.59  , 138.251 , 75.284 , 905.929 , 3.234 , 2.343 , 396.362 , 258.53  , 40.012 , 2     ,11.606 ,  21.756 ,389.018
Southwest Breakfast Burritos                                                                      , 2207.97      ,mexican             ,lunch/dinner              ,Low-Carb                           ,Tortillas                            ,          4           ,<unit>            ,eggs                     ,          6           ,<unit>            ,cheese                        ,          0.5         ,cup               ,bacon                                  ,          8           ,strip             ,sausage                     ,          4           ,link              ,Potato                     ,          1           ,<unit>            ,                                 ,                      ,                  ,                                  ,                      ,                  ,                                           ,                      ,                  ,                                           ,                       ,                   ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   220.797 , 16.031 , 5.784 ,0.054 , 6.304 , 2.48  ,  8.51  , 1.052 , 0.56  , 10.464 ,124.822 , 333.464 ,  73.832 , 21.205 , 226.333 , 0.942 , 1.228 , 175.211 ,  68.774 ,  4.196 , 0.788 , 0.546 ,   0.692 , 59.859
Spring Veggie & Fontina Cheese Quiche                                                             , 2325.896745  ,french              ,lunch/dinner              ,                                   ,pie crust                            ,          1           ,<unit>            ,asparagus                ,          1           ,bunch             ,cherry tomato                 ,          0.5         ,cup               ,zucchini                               ,          0.5         ,<unit>            ,squash                      ,          0.5         ,<unit>            ,sweet onion                ,          0.25        ,<unit>            ,fontina cheese                   ,          6           ,ounce             ,egg                               ,          3           ,<unit>            ,milk                                       ,          1           ,cup               ,extra virgin olive oil                     ,           1           ,tablespoon         ,fresh basil                ,           2           ,tablespoon         ,salt                   ,           0.25        ,teaspoon           ,pepper               ,           0.125       ,teaspoon           ,                      ,                       ,                   ,                      ,                       ,                   ,   232.59  , 14.608 , 6.533 ,0.005 , 5.476 , 1.509 , 17.657 , 1.506 , 2.862 ,  8.382 , 70.159 , 319.787 , 148.433 , 22.142 , 256.379 , 1.251 , 1.11  , 143.145 ,  94.809 ,  7.084 , 0.677 , 0.726 ,  14.186 ,107.799
Mushroom-Swiss Omelette                                                                           , 1390.8475    ,french              ,breakfast                 ,Low-Carb                           ,eggs                                 ,          8           ,<unit>            ,mushrooms                ,          0.25        ,cup               ,swiss cheese                  ,          0.5         ,cup               ,bacon                                  ,          6           ,slice             ,                            ,                      ,                  ,                           ,                      ,                  ,                                 ,                      ,                  ,                                  ,                      ,                  ,                                           ,                      ,                  ,                                           ,                       ,                   ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   347.712 , 28.513 ,10.631 ,0.23  ,11.151 , 4.334 ,  0.921 , 0.033 , 0.535 , 20.542 ,361.185 , 474.214 , 171.018 , 20.725 , 226.269 , 1.704 , 2.212 , 322.802 , 181.265 ,  0.069 , 1.901 , 1.171 ,   0.447 , 93.954
Everything Bagel Salmon                                                                           , 3002.432     ,nordic              ,breakfast                 ,"Low-Carb, Low-Sodium"             ,salmon                               ,          3           ,fillet            ,extra virgin olive oil   ,          0.25        ,cup               ,seasoning                     ,          0.25        ,cup               ,                                       ,                      ,                  ,                            ,                      ,                  ,                           ,                      ,                  ,                                 ,                      ,                  ,                                  ,                      ,                  ,                                           ,                      ,                  ,                                           ,                       ,                   ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   300.243 , 21.452 , 4.427 ,0     , 8.442 , 5.222 ,  1.155 , 0.199 , 0.032 , 24.404 , 65.34  ,  70.675 ,  28.276 , 36.018 , 443.336 , 1.055 , 0.483 , 288.13  ,  71.227 ,  4.844 ,13.068 , 5.018 ,  18.013 , 77.265
Avocado Toast With Poached Egg| Video                                                             , 2540.635125  ,british             ,breakfast                 ,"Balanced, High-Fiber"             ,sourdough bread                      ,          4           ,slice             ,avocados                 ,          2           ,<unit>            ,feta                          ,        100           ,gram              ,poached eggs                           ,          2           ,<unit>            ,white vinegar               ,          2           ,tablespoon        ,red chili flakes           ,          1           ,pinch             ,                                 ,                      ,                  ,                                  ,                      ,                  ,                                           ,                      ,                  ,                                           ,                       ,                   ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,  1270.318 , 50.822 ,13.648 ,0.029 ,24.472 , 7.095 ,163.689 ,19.598 ,14.33  , 46.151 ,192.5   ,2376.745 , 438.556 ,161.783 ,1387.718 ,13.009 , 6.136 , 644.478 , 141.718 , 20.142 , 1     , 5.267 ,  45.22  ,310.922
Baked quinoa and oatmeal with mixed berries                                                       , 2334.641375  ,american            ,breakfast                 ,Balanced                           ,rolled oats                          ,          1           ,cup               ,quinoa                   ,          1           ,cup               ,walnuts                       ,          0.5         ,cup               ,maple syrup                            ,          0.333333333 ,cup               ,baking powder               ,          1           ,teaspoon          ,cinnamon                   ,          1.5         ,teaspoon          ,sea salt                         ,          0.5         ,teaspoon          ,low fat milk                      ,          2           ,cup               ,egg                                        ,          1           ,<unit>            ,unsalted butter                            ,           3           ,teaspoon           ,vanilla                    ,           2           ,teaspoon           ,bananas                ,           2           ,<unit>             ,berries              ,           1.5         ,cup                ,                      ,                       ,                   ,                      ,                       ,                   ,   291.83  ,  9.693 , 2.241 ,0.002 , 2.048 , 4.727 , 44.656 , 4.608 ,17.91  ,  8.911 , 30.113 , 202.789 , 166.095 ,101.085 , 445.515 , 2.057 , 1.84  , 306.984 ,  59.571 ,  5.324 , 0.857 , 0.924 ,   6.259 ,113.868
Apple Oatmeal Cookies Recipe                                                                      , 2943.114667  ,american            ,teatime                   ,Low-Sodium                         ,rolled oats                          ,          2           ,cup               ,all purpose flour        ,          1           ,cup               ,baking powder                 ,          1           ,teaspoon          ,salt                                   ,          0.5         ,teaspoon          ,cinnamon                    ,          1           ,teaspoon          ,unsalted butter            ,          4           ,tablespoon        ,light brown sugar                ,          1           ,cup               ,sugar                             ,          0.5         ,cup               ,egg                                        ,          1           ,<unit>            ,vanilla                                    ,           0.25        ,teaspoon           ,unsweetened applesauce     ,           0.5         ,cup                ,Granny Smith apple     ,           0.666666667 ,cup                ,walnuts              ,           0.5         ,cup                ,                      ,                       ,                   ,                      ,                       ,                   ,   122.63  ,  4.2   , 1.484 ,0.001 , 0.974 , 1.432 , 20.088 , 1.129 ,10.975 ,  2.1   , 11.753 ,  68.66  ,  28.51  , 24.253 ,  59.294 , 0.746 , 0.358 ,  68.652 ,  19.298 ,  1.113 , 0.036 , 0.147 ,   0.542 , 10.289
Yogurt Tartlets Recipe                                                                            , 1996.647333  ,british             ,lunch/dinner              ,                                   ,whole wheat pastry flour             ,          1           ,cup               ,rolled oats              ,          0.333333333 ,cup               ,fine-grain sea salt           ,          0.5         ,teaspoon          ,butter                                 ,          0.333333333 ,cup               ,butter                      ,          1           ,tablespoon        ,maple syrup                ,          2           ,tablespoon        ,cane sugar                       ,          2           ,tablespoon        ,toasted sesame oil                ,          0.25        ,teaspoon          ,plain Greek yogurt                         ,          1           ,cup               ,maple syrup                                ,           0.25        ,cup                ,lemon                      ,           1           ,<unit>             ,fresh ginger           ,           3           ,teaspoon           ,eggs                 ,           2           ,<unit>             ,ginger                ,                  1    ,<unit>             ,                      ,                       ,                   ,   332.775 , 17.292 , 9.86  ,0.006 , 4.354 , 1.214 , 39.007 , 3.628 ,17.361 ,  8.612 ,100.586 , 247.375 ,  81.778 , 47.788 , 231.635 , 1.432 , 1.296 , 127.509 , 148.45  ,  7.97  , 0.333 , 0.698 ,   1.601 , 45.595
Flourless Pancakes With Berry Compote                                                             ,  410.033     ,american            ,lunch/dinner              ,"Balanced, Low-Sodium"             ,eggs                                 ,          2           ,<unit>            ,banana                   ,          1           ,<unit>            ,berries                       ,          1           ,cup               ,water                                  ,          1           ,tablespoon        ,chia seeds                  ,          1           ,teaspoon          ,coconut oil                ,          2           ,teaspoon          ,                                 ,                      ,                  ,                                  ,                      ,                  ,                                           ,                      ,                  ,                                           ,                       ,                   ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   102.508 ,  4.799 , 2.605 ,0.01  , 0.979 , 0.761 , 12.536 , 1.984 , 7.294 ,  3.463 , 79.98  ,  31.497 ,  22.15  , 15.997 , 165.782 , 0.633 , 0.427 ,  61.974 ,  36.54  ,  6.121 , 0.43  , 0.473 ,   7.364 , 72.953
Double Chocolate Waffles with Strawberries and Whipped Cream                                      , 2206.991833  ,american            ,breakfast                 ,                                   ,All-purpose Flour                    ,          1.5         ,cup               ,Baking Powder            ,          0.5         ,tablespoon        ,Baking Soda                   ,          0.5         ,teaspoon          ,Salt                                   ,          0.5         ,teaspoon          ,White Sugar                 ,          2           ,tablespoon        ,Brown Sugar                ,          1           ,tablespoon        ,Cocoa                            ,          3           ,tablespoon        ,Vegetable Oil                     ,          0.333333333 ,cup               ,Eggs                                       ,          2           ,<unit>            ,Vanilla Extract                            ,           1           ,teaspoon           ,Buttermilk                 ,           1.25        ,cup                ,Semi-Sweet Chocolate   ,           0.5         ,cup                ,Strawberries         ,           0           ,                   ,Bananas               ,                  0    ,                   ,Cream                 ,           0           ,                   ,   441.398 , 23.493 , 5.401 ,0.122 ,13.545 , 3.292 , 51.838 , 3.235 ,19.797 ,  9.776 , 76.85  , 380.718 , 200.787 , 54.253 , 276.433 , 3.285 , 1.281 , 318.249 ,  40.575 ,  0.613 , 0.4   , 3.631 ,   1.284 , 75.63
On-The-Go Breakfast Egg Rolls                                                                     , 2334.271845  ,american            ,breakfast                 ,                                   ,egg whites                           ,          8           ,ounce             ,nonfat milk              ,          0.333333333 ,cup               ,seasoning                     ,          1           ,teaspoon          ,cayenne pepper                         ,          0.5         ,teaspoon          ,spinach                     ,         10           ,ounce             ,turkey sausage             ,          4           ,ounce             ,wraps                            ,          8           ,<unit>            ,jack cheese                       ,          1           ,cup               ,asiago cheese                              ,          4           ,tablespoon        ,cooking spray                              ,           0           ,                   ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   291.784 , 12.958 , 4.867 ,0.056 , 5.115 , 2.116 , 27.111 , 2.007 , 2.255 , 16.787 , 28.682 , 683.237 , 320.585 , 52.32  , 384.524 , 3.012 , 1.582 , 267.631 , 227.018 , 10.495 , 0.246 , 1.249 , 175.309 ,100.611
Scrambled Egg With Spinach and Feta on Toast                                                      ,  826.5934641 ,mediterranean       ,breakfast                 ,Low-Carb                           ,bread                                ,          2           ,slice             ,eggs                     ,          3           ,<unit>            ,spinach                       ,          3           ,handful           ,feta cheese                            ,        125           ,gram              ,extra virgin olive oil      ,         15           ,milliliter        ,                           ,                      ,                  ,                                 ,                      ,                  ,                                  ,                      ,                  ,                                           ,                      ,                  ,                                           ,                       ,                   ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   826.593 , 57.477 ,23.616 ,0.076 ,21.617 , 5.987 , 33.616 , 2.403 , 3.894 , 42.963 ,669.25  ,1915.576 , 776.599 , 68.493 , 387.342 , 5.704 , 6.158 , 794.908 , 413.838 ,  1.17  , 3.5   , 3.958 ,  31.899 ,207.144
Fruit & Yogurt Bowl with Granola Bar Dipper recipes                                               ,  222.1260455 ,american            ,breakfast                 ,"Balanced, Low-Sodium"             ,yogurt                               ,          5           ,ounce             ,fruit                    ,          0.5         ,cup               ,granola bar                   ,          1           ,<unit>            ,                                       ,                      ,                  ,                            ,                      ,                  ,                           ,                      ,                  ,                                 ,                      ,                  ,                                  ,                      ,                  ,                                           ,                      ,                  ,                                           ,                       ,                   ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   222.126 ,  8.851 , 3.485 ,0     , 2.202 , 2.685 , 29.77  , 2.338 ,12.611 ,  7.468 , 18.427 , 130.619 , 192.9   , 43.505 , 385.819 , 1.058 , 1.361 , 203.855 ,  65.642 ,  3.225 , 0.142 , 0.524 ,   3.349 ,237.503
Classic Breakfast Sandwich Recipe                                                                 , 1562.436082  ,american            ,lunch/dinner              ,Low-Carb                           ,Kaiser rolls                         ,          2           ,<unit>            ,unsalted butter          ,          2           ,tablespoon        ,bacon                         ,          4           ,strip             ,ham                                    ,          3           ,ounce             ,eggs                        ,          4           ,<unit>            ,Salt                       ,          0           ,                  ,pepper                           ,          0           ,                  ,American cheese                   ,          4           ,slice             ,                                           ,                      ,                  ,                                           ,                       ,                   ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   781.218 , 53.911 ,21.413 ,0.123 ,20.209 , 7.154 , 34.62  , 2.086 , 2.021 , 37.597 ,478.489 ,1438.405 , 235.504 , 52.371 , 529.502 , 4.538 , 3.716 , 505.138 , 308.16  ,  1.701 , 2.53  , 1.911 ,   3.076 ,161.036
Mango Smoothie Bowl                                                                               ,  609.34175   ,american            ,breakfast                 ,"High-Fiber, Low-Sodium"           ,mango                                ,          1           ,cup               ,coconut milk             ,          0.75        ,cup               ,banana                        ,          0.5         ,<unit>            ,agave syrup                            ,          1           ,teaspoon          ,banana                      ,          0.5         ,<unit>            ,pomegranate                ,          1           ,tablespoon        ,coconut flakes                   ,          1           ,tablespoon        ,raspberries                       ,          6           ,<unit>            ,                                           ,                      ,                  ,                                           ,                       ,                   ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   609.342 , 40.779 ,35.373 ,0     , 1.969 , 0.687 , 66.333 , 7.764 ,44.077 ,  6.753 ,  0     ,  27.547 ,  59.948 ,134.993 ,1144.542 , 6.458 , 1.468 , 230.014 ,  93.42  , 77.37  , 0     , 1.858 ,  11.761 ,369.715
Maple Andouille Breakfast Sausage                                                                 , 2365.52115   ,american            ,breakfast                 ,"Low-Carb, Low-Sodium"             ,paprika                              ,          1.5         ,tablespoon        ,garlic                   ,          1           ,tablespoon        ,kosher salt                   ,          1           ,tablespoon        ,black pepper                           ,          1.5         ,teaspoon          ,cayenne pepper              ,          0.5         ,teaspoon          ,dried thyme                ,          0.5         ,teaspoon          ,red pepper flakes                ,          0.5         ,teaspoon          ,ground pork                       ,          1.5         ,pound             ,maple syrup                                ,          0.333333333 ,cup               ,canola oil                                 ,           2           ,tablespoon         ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   147.845 , 10.874 , 3.496 ,0.007 , 5.137 , 1.364 ,  5.124 , 0.322 , 4.059 ,  7.347 , 30.617 , 121.699 ,  16.768 , 11.272 , 157.346 , 0.591 , 1.072 ,  77.97  ,  18.139 ,  0.535 , 0     , 0.514 ,   2.728 , 28.527
"Fried Egg, Avocado and Bacon Breakfast Sandwich"                                                 , 1648.444112  ,american            ,lunch/dinner              ,High-Fiber                         ,bacon                                ,          4           ,slice             ,avocado                  ,          1           ,<unit>            ,Kosher salt                   ,          0           ,                  ,pepper                                 ,          0           ,                  ,bagels                      ,          2           ,<unit>            ,unsalted butter            ,          1           ,tablespoon        ,eggs                             ,          2           ,<unit>            ,cheddar cheese                    ,          1           ,ounce             ,arugula                                    ,          0.5         ,ounce             ,Hot sauce                                  ,           1           ,serving            ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   824.222 , 52.256 ,17.437 ,0.122 ,24.035 , 6.898 , 62.189 , 8.692 , 9.633 , 29.476 ,227.538 ,1096.11  , 374.765 , 79.708 , 825.466 , 5.296 , 3.252 , 403.478 , 187.491 , 13.357 , 1.177 ,10.476 ,  31.699 ,182.57
Tuna Salad Wrap with Broccoli                                                                     ,  597.525     ,american            ,lunch/dinner              ,                                   ,wheat wrap                           ,          1           ,<unit>            ,Swiss cheese             ,          1           ,slice             ,Tuna Salad                    ,          0.5         ,cup               ,broccoli                               ,          1           ,cup               ,olive oil                   ,          1           ,tablespoon        ,                           ,                      ,                  ,                                 ,                      ,                  ,                                  ,                      ,                  ,                                           ,                      ,                  ,                                           ,                       ,                   ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   149.381 ,  8.931 , 2.31  ,0.071 , 4.24  , 1.793 , 10.062 , 0.886 , 0.713 ,  7.613 ,  9.841 , 214.573 ,  97.35  , 14.529 , 138.869 , 0.857 , 0.613 , 126.9   ,  33.363 , 20.857 , 0     , 0.811 ,  25.849 , 43.112
Chicken Caesar Wrap                                                                               ,  593.1705313 ,mexican             ,lunch/dinner              ,                                   ,bacon                                ,          1           ,slice             ,romaine lettuce          ,          1           ,cup               ,chicken                       ,          0.5         ,cup               ,croutons                               ,          0.25        ,cup               ,Salad Dressing              ,          1           ,tablespoon        ,Parmesan cheese            ,          1           ,tablespoon        ,flour tortilla                   ,          1           ,<unit>            ,                                  ,                      ,                  ,                                           ,                      ,                  ,                                           ,                       ,                   ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   593.171 , 36.947 ,10.381 ,0.119 ,14.609 , 9.328 , 37.954 , 2.84  , 2.7   , 26.697 , 77.96  , 887.206 , 240.158 , 43.627 , 407.273 , 3.612 , 2.027 , 368.729 , 256.049 ,  3     , 0.302 , 1.681 ,  67.529 ,134.835
The Ultimate Greek Salad Recipe                                                                   , 1454.759849  ,mediterranean       ,lunch/dinner              ,Low-Carb                           ,red onion                            ,          2           ,ounce             ,red wine vinegar         ,         60           ,milliliter        ,tomatoes                      ,         12           ,ounce             ,cucumber                               ,         12           ,ounce             ,black olives                ,          0.25        ,cup               ,extra-virgin olive oil     ,        120           ,milliliter        ,sea salt                         ,          0           ,                  ,oregano                           ,          2           ,pinch             ,feta cheese                                ,          4           ,ounce             ,                                           ,                       ,                   ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   363.69  , 34.679 , 7.803 ,0     ,21.979 , 3.197 ,  9.389 , 1.834 , 4.259 ,  5.562 , 25.231 , 612.985 , 174.347 , 28.248 , 372.153 , 1.444 , 1.18  , 141.982 ,  76.864 , 15.234 , 0.113 , 4.627 ,  38.034 ,210.66
Roasted Beet & Quinoa Salad.                                                                      , 1575.7605    ,mediterranean       ,lunch/dinner              ,"Balanced, High-Fiber, Low-Sodium" ,quinoa                               ,          1           ,cup               ,beets                    ,          6           ,<unit>            ,leek                          ,          1           ,<unit>            ,avocado                                ,          1           ,<unit>            ,spinach                     ,          1           ,handful           ,cilantro                   ,          1           ,handful           ,almonds                          ,          1           ,handful           ,extra virgin olive oil            ,          2           ,tablespoon        ,agave syrup                                ,          1           ,tablespoon        ,apple cider vinegar                        ,           2           ,teaspoon           ,cracked pepper             ,           1           ,pinch              ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   393.94  , 18.688 , 2.473 ,0.001 ,11.637 , 3.547 , 49.938 ,10.656 ,12.016 , 10.066 ,  0     , 107.441 ,  69.527 ,142.958 , 957.699 , 3.878 , 2.21  , 294.454 ,  31.237 , 14.705 , 0     , 4.227 ,  32.23  ,173.253
